id,question,answer,company,role,difficulty,category
121,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Amazon,Data Analyst,Medium,Excel
122,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Google,Data Analyst,Medium,ETL
123,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",TCS,Data Analyst,Easy,Data Warehousing
124,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Amazon,Data Analyst,Easy,A/B Testing
125,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Google,Data Analyst,Hard,Data Cleaning
126,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Microsoft,Data Analyst,Easy,Tableau
127,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Hard,A/B Testing
128,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",TCS,Data Analyst,Medium,Python
129,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Google,Data Analyst,Medium,Reporting
130,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Google,Data Analyst,Medium,SQL
131,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",TCS,Data Analyst,Medium,ETL
132,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Infosys,Data Analyst,Hard,ETL
133,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Meta,Data Analyst,Medium,Statistics
134,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",TCS,Data Analyst,Hard,SQL
135,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Amazon,Data Analyst,Easy,Data Visualization
136,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Microsoft,Data Analyst,Hard,Data Warehousing
137,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",TCS,Data Analyst,Easy,Data Cleaning
138,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Amazon,Data Analyst,Easy,Excel
139,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Microsoft,Data Analyst,Hard,Data Interpretation
140,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Microsoft,Data Analyst,Medium,Business Intelligence
141,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Meta,Data Analyst,Easy,SQL
142,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Google,Data Analyst,Easy,Data Interpretation
143,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",Infosys,Data Analyst,Hard,ETL
144,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Infosys,Data Analyst,Medium,Data Visualization
145,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Amazon,Data Analyst,Easy,Data Warehousing
146,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Amazon,Data Analyst,Easy,Data Visualization
147,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Meta,Data Analyst,Hard,Data Interpretation
148,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Google,Data Analyst,Medium,SQL
149,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Microsoft,Data Analyst,Easy,Data Interpretation
150,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Microsoft,Data Analyst,Easy,Data Warehousing
151,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",Meta,Data Analyst,Medium,Reporting
152,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Amazon,Data Analyst,Medium,Tableau
153,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",TCS,Data Analyst,Hard,ETL
154,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Meta,Data Analyst,Easy,Data Visualization
155,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Meta,Data Analyst,Easy,SQL
156,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",Google,Data Analyst,Medium,Python
157,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Easy,A/B Testing
158,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Infosys,Data Analyst,Medium,SQL
159,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Amazon,Data Analyst,Medium,A/B Testing
160,What is the role of data visualization in data analysis?,"Data visualization refers to presenting data through graphs, charts, and dashboards to extract insights. Tools include Tableau, Power BI, matplotlib, and seaborn. Common types include bar charts, line charts, histograms, and scatter plots.",Infosys,Data Analyst,Hard,Data Visualization
161,What is the role of python in data analysis?,"Python is a powerful language for data analysis due to libraries like pandas, NumPy, matplotlib, and seaborn. It supports data wrangling, cleaning, visualization, and even basic modeling.",TCS,Data Analyst,Easy,Python
162,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Google,Data Analyst,Medium,Statistics
163,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Microsoft,Data Analyst,Medium,SQL
164,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Meta,Data Analyst,Hard,Statistics
165,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",TCS,Data Analyst,Easy,Excel
166,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Meta,Data Analyst,Hard,Data Warehousing
167,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Microsoft,Data Analyst,Medium,Data Modeling
168,What is the role of etl in data analysis?,"ETL stands for Extract, Transform, Load. It refers to the process of extracting data from sources, transforming it to fit business needs, and loading it into a target database or warehouse. ETL tools include Talend, Apache NiFi, and Informatica.",TCS,Data Analyst,Medium,ETL
169,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",TCS,Data Analyst,Medium,Business Intelligence
170,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Meta,Data Analyst,Easy,Excel
171,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Microsoft,Data Analyst,Medium,Tableau
172,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Google,Data Analyst,Medium,A/B Testing
173,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Microsoft,Data Analyst,Hard,Business Intelligence
174,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Google,Data Analyst,Medium,Data Warehousing
175,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Hard,A/B Testing
176,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Microsoft,Data Analyst,Hard,Business Intelligence
177,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Infosys,Data Analyst,Medium,Excel
178,What is the role of data modeling in data analysis?,"Data modeling structures data for databases or analytics. It includes ER diagrams, normalization (1NF to 3NF), and defining relationships (1:1, 1:N, N:M). Helps ensure efficient querying and data integrity.",Google,Data Analyst,Medium,Data Modeling
179,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Google,Data Analyst,Hard,Tableau
180,What is the role of sql in data analysis?,"SQL (Structured Query Language) is used for managing relational databases. It allows you to create, query, update, and delete data. Data Analysts use SQL to perform operations like JOINs, filtering with WHERE, aggregation using GROUP BY, and ranking using window functions.",Microsoft,Data Analyst,Easy,SQL
181,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",TCS,Data Analyst,Medium,Data Warehousing
182,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Meta,Data Analyst,Easy,Data Warehousing
183,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Infosys,Data Analyst,Easy,Data Interpretation
184,What is the role of business intelligence in data analysis?,"Business Intelligence (BI) involves analyzing historical and current data to help make business decisions. BI tools like Power BI and Tableau visualize trends, KPI tracking, and business forecasts.",Meta,Data Analyst,Medium,Business Intelligence
185,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Google,Data Analyst,Easy,Excel
186,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Google,Data Analyst,Hard,Data Warehousing
187,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",Google,Data Analyst,Easy,Power BI
188,What is the role of power bi in data analysis?,"Power BI is a business analytics tool for building interactive dashboards. It enables data connections, DAX calculations, filtering, and visualization. Data Analysts use Power BI for executive-level reporting.",TCS,Data Analyst,Easy,Power BI
189,What is the role of reporting in data analysis?,"Reporting refers to summarizing and presenting data findings using tools like Excel, Tableau, or Power BI. Reports may include KPIs, trends, anomalies, and recommendations. Automated reporting improves decision-making speed.",TCS,Data Analyst,Medium,Reporting
190,What is the role of excel in data analysis?,"Excel is a widely-used spreadsheet tool for data analysis. It includes functions like VLOOKUP, INDEX-MATCH, pivot tables, charts, and conditional formatting. Data analysts use Excel for quick exploration, dashboarding, and basic statistical computations.",Meta,Data Analyst,Easy,Excel
191,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Google,Data Analyst,Medium,A/B Testing
192,What is the role of statistics in data analysis?,"Statistics is the foundation of data analysis. Key concepts include mean, median, mode, standard deviation, correlation, and hypothesis testing (t-tests, chi-square tests). These help in understanding data distributions and making informed decisions.",Microsoft,Data Analyst,Easy,Statistics
193,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Microsoft,Data Analyst,Easy,Tableau
194,What is the role of tableau in data analysis?,"Tableau is a data visualization tool used to create interactive dashboards and reports. It supports real-time data blending and drag-and-drop UI. It helps in identifying patterns, trends, and insights visually.",Google,Data Analyst,Easy,Tableau
195,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Microsoft,Data Analyst,Hard,Data Cleaning
196,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Microsoft,Data Analyst,Medium,Data Warehousing
197,What is the role of data cleaning in data analysis?,"Data cleaning involves correcting or removing inaccurate records from a dataset. This includes handling missing values, outliers, and inconsistent formats. Tools include Excel, Python (pandas), and SQL. Clean data ensures better analysis and modeling.",Google,Data Analyst,Hard,Data Cleaning
198,What is the role of a/b testing in data analysis?,"A/B testing compares two versions of a variable to determine which performs better. It involves hypothesis testing, statistical significance (p-values), and confidence intervals. Used widely in product design and marketing campaigns.",Microsoft,Data Analyst,Medium,A/B Testing
199,What is the role of data warehousing in data analysis?,"Data warehousing involves collecting and managing data from various sources to provide meaningful business insights. Tools include Snowflake, Redshift, BigQuery. Data analysts often query data warehouses using SQL for reporting.",Infosys,Data Analyst,Easy,Data Warehousing
200,What is the role of data interpretation in data analysis?,"Data interpretation involves making sense of numerical data by recognizing patterns, correlations, and trends. Analysts use summary statistics, visualizations, and domain context to draw conclusions.",Infosys,Data Analyst,Hard,Data Interpretation
